country_code,year,BANK,ATM,DEP,LOAN
ATG,2019,24.44556109353143,67.90433637092065,73.16224060960096,45.75836495824225
ATG,2020,21.53489999730814,63.25876874209265,87.34319492472622,58.26311453474033
ATG,2021,20.01414332795175,56.03960131826491,87.10172132398156,50.0448478179456
ATG,2022,19.842319699455,62.17260172495899,78.23006391215402,41.63211124405474
ATG,2023,17.03443576707375,56.34467215262854,75.8229159357562,42.21450175603163
ATG,2024,16.86537538433596,58.38014556116293,71.67195957133887,42.18419101281329
ATG,2025,16.72004218595259,61.73554037890188,,
AUS,2010,30.76742229122739,168.7665460422192,60.98336381471282,112.5417088412584
AUS,2011,30.39340704512656,170.3986669112431,61.55285173388557,112.0040540812601
AUS,2012,30.92294293506812,164.6166423393157,64.28304692131098,114.4383957652584
AUS,2013,30.13996549824654,161.1909462551773,66.88149473433992,117.5146531089456
AUS,2014,29.17271169942892,165.2962724492764,69.9001662576297,123.1172845158301
AUS,2015,28.75630086070083,163.9274831744057,74.8566770789696,131.443256877703
AUS,2016,27.71914124174006,167.5634574162845,77.59528567309661,136.246218838489
AUS,2017,28.94929974559888,159.9426264760736,78.05604539736942,134.4751539365994
AUS,2018,27.48068807343069,145.5150018027884,78.23389174005224,133.5421875154906
AUS,2019,24.61293347539473,135.6720019923277,77.17637875697417,130.6836571811545
AUS,2020,23.30432994258843,128.7147738632652,89.59927401444979,134.946668335366
AUS,2021,21.08978090108678,122.4772679937972,88.86598125367469,129.7820949665504
AUS,2022,19.31780549729551,117.6510300729667,84.3490795613729,123.8662369433688
AUS,2023,16.86256814715804,111.437590692375,84.30430806246503,123.3956892285657
AUS,2024,15.46241755614343,105.2213935432237,86.6866147575462,126.0780694068657
AUT,2010,11.30003776037463,113.0565268596985,29.10829802761838,33.33091889627159
AUT,2011,15.14810518844243,113.9668042887148,28.30383678205753,32.13792452211803
AUT,2012,15.99506358766086,115.7942721302733,28.40544155931942,30.65734512905359
AUT,2013,15.56271471037375,117.4365206507584,28.76533484520304,28.82059903789544
AUT,2014,14.85500261327895,186.6432773194148,29.97541541785338,27.18006297229982
AUT,2015,13.82577764936127,183.6641146135364,29.62375648050841,26.33168714655925
AUT,2016,12.68453899052188,163.2950609559598,29.23619426894412,25.67269489298518
AUT,2017,12.08600935510249,165.3923895594411,28.02019298764562,24.78268949753999
AUT,2018,11.96324520938125,169.666577085534,27.94994023140158,24.50110128616392
AUT,2019,11.88285635442652,172.0316512972513,27.61793368596395,24.58635385242558
AUT,2020,7.414737721338436,167.9189189260001,30.75272372548334,25.23127314632574
AUT,2021,12.33427448454532,168.5075723448877,31.12167161279722,25.80863903193027
AUT,2022,11.45300401190854,176.3271959262943,28.23332380286605,23.1216518835534
AUT,2023,11.00224159491357,171.9467629514018,26.57411688152986,21.70375742936981
AUT,2024,10.88649614628199,170.0681568336327,27.29247364187604,21.08434284541098
AUT,2025,10.43582404618782,173.968349220874,,
AZE,2010,9.795019666096453,26.89720930080477,12.83174378900271,21.12751677852349
AZE,2011,9.943935809793516,29.8598185161687,13.30114050919704,18.43016781229599
AZE,2012,9.661439892279098,31.28202601225037,14.46011139181312,21.77894442648195
